turn_id,session_id,user_turn_number,auto_rule_pred,human_conflict,annotator_id,adjudicated,notes,annotated_at
00_02_05_05_07_00_01__u0005,00_02_05_05_07_00_01,5,0,0,colleague_ar,1,,2026-05-28T20:17:05+00:00
00_02_05_05_07_00_01__u0008,00_02_05_05_07_00_01,8,0,0,colleague_ar,1,,2026-05-28T20:17:39+00:00
00_00_00_05_07_00_00__u0016,00_00_00_05_07_00_00,16,1,1,colleague_ar,1,,2026-05-28T20:17:52+00:00
00_00_00_02_07_00_00__u0006,00_00_00_02_07_00_00,6,0,0,colleague_ar,1,,2026-05-28T20:18:43+00:00
00_02_05_05_07_00_02__u0025,00_02_05_05_07_00_02,25,1,1,colleague_ar,1,,2026-05-28T20:18:59+00:00
00_00_00_05_07_00_00__u0004,00_00_00_05_07_00_00,4,0,1,colleague_ar,1,,2026-05-28T20:19:16+00:00
00_02_05_04_07_00_00__u0022,00_02_05_04_07_00_00,22,1,1,colleague_ar,1,,2026-05-28T20:20:02+00:00
00_00_00_05_07_00_00__u0023,00_00_00_05_07_00_00,23,1,1,colleague_ar,1,,2026-05-28T20:20:31+00:00
01_00_00_04_03_00_00__u0021,01_00_00_04_03_00_00,21,1,1,colleague_ar,1,,2026-05-28T20:20:46+00:00
01_00_00_04_03_00_00__u0023,01_00_00_04_03_00_00,23,0,1,colleague_ar,1,,2026-05-28T20:21:16+00:00
00_02_05_05_07_00_00__u0013,00_02_05_05_07_00_00,13,0,1,colleague_ar,1,,2026-05-28T20:21:39+00:00
00_00_00_05_07_00_00__u0029,00_00_00_05_07_00_00,29,1,1,colleague_ar,1,,2026-05-28T20:21:48+00:00
00_00_00_02_07_00_00__u0030,00_00_00_02_07_00_00,30,0,0,colleague_ar,1,,2026-05-28T20:22:19+00:00
01_01_00_05_03_00_00__u0020,01_01_00_05_03_00_00,20,1,1,colleague_ar,1,,2026-05-28T20:22:34+00:00
01_00_00_04_07_00_00__u0018,01_00_00_04_07_00_00,18,0,0,colleague_ar,1,,2026-05-28T20:22:59+00:00
01_00_00_04_07_00_00__u0014,01_00_00_04_07_00_00,14,1,1,colleague_ar,1,,2026-05-28T20:23:18+00:00
00_00_00_05_07_00_01__u0017,00_00_00_05_07_00_01,17,0,0,colleague_ar,1,,2026-05-28T20:23:31+00:00
00_00_00_02_07_00_00__u0001,00_00_00_02_07_00_00,1,1,1,colleague_ar,1,,2026-05-28T20:23:39+00:00
00_00_00_05_03_00_00__u0009,00_00_00_05_03_00_00,9,0,0,colleague_ar,1,,2026-05-28T20:23:57+00:00
01_01_00_05_03_00_00__u0001,01_01_00_05_03_00_00,1,0,0,colleague_ar,1,,2026-05-28T20:24:10+00:00
00_00_00_02_07_00_00__u0012,00_00_00_02_07_00_00,12,0,0,colleague_ar,1,,2026-05-28T20:24:18+00:00
00_00_02_04_07_00_00__u0018,00_00_02_04_07_00_00,18,0,0,colleague_ar,1,,2026-05-28T20:24:33+00:00
00_00_02_04_07_00_00__u0005,00_00_02_04_07_00_00,5,1,1,colleague_ar,1,,2026-05-28T20:24:42+00:00
00_00_00_04_07_00_01__u0022,00_00_00_04_07_00_01,22,0,0,colleague_ar,1,,2026-05-28T20:25:08+00:00
00_02_05_04_07_00_00__u0030,00_02_05_04_07_00_00,30,1,1,colleague_ar,1,,2026-05-28T20:25:17+00:00
00_02_05_05_07_00_01__u0023,00_02_05_05_07_00_01,23,1,1,colleague_ar,1,,2026-05-28T20:25:26+00:00
00_02_05_05_07_00_01__u0003,00_02_05_05_07_00_01,3,1,1,colleague_ar,1,,2026-05-28T20:25:32+00:00
00_00_02_04_07_00_00__u0008,00_00_02_04_07_00_00,8,0,0,colleague_ar,1,,2026-05-28T20:27:09+00:00
00_00_00_04_07_00_02__u0007,00_00_00_04_07_00_02,7,1,1,colleague_ar,1,,2026-05-28T20:27:30+00:00
00_00_00_02_07_00_00__u0009,00_00_00_02_07_00_00,9,0,1,colleague_ar,1,,2026-05-28T20:27:46+00:00
00_00_02_02_03_00_00__u0015,00_00_02_02_03_00_00,15,1,1,colleague_ar,1,,2026-05-28T20:27:56+00:00
00_02_05_05_07_00_01__u0025,00_02_05_05_07_00_01,25,1,1,colleague_ar,1,,2026-05-28T20:28:06+00:00
00_00_00_05_03_01_00__u0027,00_00_00_05_03_01_00,27,0,0,colleague_ar,1,,2026-05-28T20:28:19+00:00
00_00_00_05_07_00_00__u0026,00_00_00_05_07_00_00,26,1,1,colleague_ar,1,,2026-05-28T20:28:27+00:00
00_00_00_04_07_00_01__u0017,00_00_00_04_07_00_01,17,0,1,colleague_ar,1,,2026-05-28T20:29:07+00:00
00_00_00_05_03_01_00__u0017,00_00_00_05_03_01_00,17,0,0,colleague_ar,1,,2026-05-28T20:29:18+00:00
00_02_05_04_07_00_00__u0010,00_02_05_04_07_00_00,10,0,0,colleague_ar,1,,2026-05-28T20:29:34+00:00
00_01_00_04_03_00_00__u0029,00_01_00_04_03_00_00,29,1,1,colleague_ar,1,,2026-05-28T20:29:51+00:00
01_00_00_04_07_00_00__u0010,01_00_00_04_07_00_00,10,0,0,colleague_ar,1,,2026-05-28T20:30:02+00:00
01_00_00_04_07_00_00__u0002,01_00_00_04_07_00_00,2,1,0,colleague_ar,1,,2026-05-28T20:30:06+00:00
01_00_00_04_07_00_01__u0008,01_00_00_04_07_00_01,8,0,0,colleague_ar,1,,2026-05-28T20:30:17+00:00
01_00_00_04_07_00_00__u0030,01_00_00_04_07_00_00,30,1,1,colleague_ar,1,,2026-05-28T20:30:25+00:00
00_00_02_04_07_00_00__u0014,00_00_02_04_07_00_00,14,1,1,colleague_ar,1,,2026-05-28T20:30:35+00:00
00_02_05_05_07_00_01__u0012,00_02_05_05_07_00_01,12,1,1,colleague_ar,1,,2026-05-28T20:30:40+00:00
00_00_00_08_08_00_00__u0003,00_00_00_08_08_00_00,3,0,1,colleague_ar,1,,2026-05-28T20:30:46+00:00
00_02_05_05_07_00_00__u0021,00_02_05_05_07_00_00,21,0,1,colleague_ar,1,,2026-05-28T20:31:17+00:00
00_01_00_04_03_00_00__u0021,00_01_00_04_03_00_00,21,0,1,colleague_ar,1,,2026-05-28T20:31:25+00:00
00_00_02_02_03_00_00__u0022,00_00_02_02_03_00_00,22,0,0,colleague_ar,1,,2026-05-28T20:31:38+00:00
00_00_00_05_07_00_00__u0011,00_00_00_05_07_00_00,11,1,1,colleague_ar,1,,2026-05-28T20:31:44+00:00
00_01_00_04_03_00_00__u0012,00_01_00_04_03_00_00,12,1,1,colleague_ar,1,,2026-05-28T20:31:48+00:00
00_00_00_05_08_00_00__u0027,00_00_00_05_08_00_00,27,1,1,colleague_ar,1,,2026-05-28T20:32:00+00:00
00_00_00_05_07_00_01__u0013,00_00_00_05_07_00_01,13,0,1,colleague_ar,1,,2026-05-28T20:32:33+00:00
00_00_00_04_07_00_02__u0010,00_00_00_04_07_00_02,10,1,1,colleague_ar,1,,2026-05-28T20:32:38+00:00
00_02_05_05_07_00_01__u0018,00_02_05_05_07_00_01,18,1,1,colleague_ar,1,,2026-05-28T20:32:41+00:00
01_00_00_04_07_00_00__u0013,01_00_00_04_07_00_00,13,1,1,colleague_ar,1,,2026-05-28T20:32:48+00:00
00_01_00_04_03_00_00__u0022,00_01_00_04_03_00_00,22,1,1,colleague_ar,1,,2026-05-28T20:33:10+00:00
00_00_00_05_07_00_02__u0012,00_00_00_05_07_00_02,12,1,1,colleague_ar,1,,2026-05-28T20:33:27+00:00
00_02_05_05_07_00_02__u0006,00_02_05_05_07_00_02,6,1,1,colleague_ar,1,,2026-05-28T20:33:35+00:00
00_02_05_05_07_00_01__u0011,00_02_05_05_07_00_01,11,1,1,colleague_ar,1,,2026-05-28T20:33:40+00:00
00_01_00_04_03_00_00__u0011,00_01_00_04_03_00_00,11,1,1,colleague_ar,1,,2026-05-28T20:33:47+00:00
00_00_00_05_07_00_00__u0024,00_00_00_05_07_00_00,24,1,1,colleague_ar,1,,2026-05-28T20:33:52+00:00
00_01_00_04_03_00_00__u0010,00_01_00_04_03_00_00,10,0,0,colleague_ar,1,,2026-05-28T20:34:09+00:00
00_00_00_05_07_00_01__u0018,00_00_00_05_07_00_01,18,0,0,colleague_ar,1,,2026-05-28T20:34:38+00:00
00_02_05_05_07_00_01__u0020,00_02_05_05_07_00_01,20,1,1,colleague_ar,1,,2026-05-28T20:34:45+00:00
00_02_05_05_07_00_01__u0001,00_02_05_05_07_00_01,1,1,1,colleague_ar,1,,2026-05-28T20:34:48+00:00
00_03_02_04_07_01_00__u0028,00_03_02_04_07_01_00,28,0,1,colleague_ar,1,,2026-05-28T20:35:01+00:00
00_01_00_04_03_00_00__u0016,00_01_00_04_03_00_00,16,1,1,colleague_ar,1,,2026-05-28T20:35:04+00:00
01_00_00_04_03_00_00__u0009,01_00_00_04_03_00_00,9,0,0,colleague_ar,1,,2026-05-28T20:35:30+00:00
00_01_00_05_08_01_00__u0010,00_01_00_05_08_01_00,10,0,1,colleague_ar,1,,2026-05-28T20:35:54+00:00
00_02_05_04_07_00_00__u0011,00_02_05_04_07_00_00,11,0,1,colleague_ar,1,,2026-05-28T20:36:15+00:00
00_00_00_04_07_00_01__u0012,00_00_00_04_07_00_01,12,0,1,colleague_ar,1,,2026-05-28T20:36:28+00:00
00_02_05_05_07_00_02__u0013,00_02_05_05_07_00_02,13,1,1,colleague_ar,1,,2026-05-28T20:36:40+00:00
00_00_00_04_07_00_01__u0026,00_00_00_04_07_00_01,26,0,1,colleague_ar,1,,2026-05-28T20:37:05+00:00
00_00_00_05_08_00_00__u0012,00_00_00_05_08_00_00,12,0,1,colleague_ar,1,,2026-05-28T20:37:16+00:00
01_00_00_04_03_00_00__u0010,01_00_00_04_03_00_00,10,0,0,colleague_ar,1,,2026-05-28T20:37:22+00:00
00_00_00_05_07_00_00__u0003,00_00_00_05_07_00_00,3,1,1,colleague_ar,1,,2026-05-28T20:37:26+00:00
00_01_00_05_08_01_00__u0021,00_01_00_05_08_01_00,21,0,0,colleague_ar,1,,2026-05-28T20:37:34+00:00
00_01_00_04_03_00_00__u0003,00_01_00_04_03_00_00,3,1,1,colleague_ar,1,,2026-05-28T20:37:38+00:00
00_00_00_04_07_00_02__u0030,00_00_00_04_07_00_02,30,0,1,colleague_ar,1,,2026-05-28T20:37:45+00:00
00_02_05_04_07_00_00__u0017,00_02_05_04_07_00_00,17,0,0,colleague_ar,1,,2026-05-28T20:37:53+00:00
01_00_00_04_03_00_00__u0007,01_00_00_04_03_00_00,7,1,1,colleague_ar,1,,2026-05-28T20:38:01+00:00
00_00_00_04_07_00_02__u0006,00_00_00_04_07_00_02,6,1,1,colleague_ar,1,,2026-05-28T20:38:05+00:00
01_01_00_05_03_00_00__u0006,01_01_00_05_03_00_00,6,0,0,colleague_ar,1,,2026-05-28T20:38:14+00:00
00_02_05_04_07_00_00__u0021,00_02_05_04_07_00_00,21,1,1,colleague_ar,1,,2026-05-28T20:38:22+00:00
00_01_00_04_03_00_00__u0028,00_01_00_04_03_00_00,28,1,1,colleague_ar,1,,2026-05-28T20:38:23+00:00
01_00_00_02_07_00_00__u0009,01_00_00_02_07_00_00,9,1,1,colleague_ar,1,,2026-05-28T20:38:29+00:00
00_00_00_05_03_01_00__u0011,00_00_00_05_03_01_00,11,0,1,colleague_ar,1,,2026-05-28T20:38:59+00:00
01_01_00_05_03_00_00__u0029,01_01_00_05_03_00_00,29,0,0,colleague_ar,1,,2026-05-28T20:39:04+00:00
01_00_00_04_03_00_00__u0001,01_00_00_04_03_00_00,1,1,1,colleague_ar,1,,2026-05-28T20:39:11+00:00
00_00_00_04_07_00_02__u0025,00_00_00_04_07_00_02,25,1,1,colleague_ar,1,,2026-05-28T20:39:16+00:00
00_01_00_04_03_00_00__u0004,00_01_00_04_03_00_00,4,1,1,colleague_ar,1,,2026-05-28T20:39:21+00:00
01_00_00_04_07_00_01__u0018,01_00_00_04_07_00_01,18,0,0,colleague_ar,1,,2026-05-28T20:39:41+00:00
00_00_00_08_08_00_00__u0016,00_00_00_08_08_00_00,16,0,1,colleague_ar,1,,2026-05-28T20:40:08+00:00
00_00_00_05_08_00_00__u0016,00_00_00_05_08_00_00,16,0,0,colleague_ar,1,,2026-05-28T20:40:33+00:00
01_00_00_04_03_00_00__u0026,01_00_00_04_03_00_00,26,0,0,colleague_ar,1,,2026-05-28T20:41:03+00:00
01_00_00_04_03_00_00__u0018,01_00_00_04_03_00_00,18,1,1,colleague_ar,1,,2026-05-28T20:41:09+00:00
00_02_05_05_07_00_02__u0023,00_02_05_05_07_00_02,23,0,1,colleague_ar,1,,2026-05-28T20:41:19+00:00
