session_id,n_turns,consistent,neutral,conflict,other,conflict_rate_pct
00_00_00_02_07_00_00,29,19,5,5,0,17.2
00_00_00_04_03_00_00,33,0,33,0,0,0.0
00_00_00_04_07_00_01,30,1,25,4,0,13.3
00_00_00_04_07_00_02,32,0,27,5,0,15.6
00_00_00_04_08_00_00,22,0,16,6,0,27.3
00_00_00_04_08_00_01,33,0,33,0,0,0.0
00_00_00_05_03_00_00,30,0,29,1,0,3.3
00_00_00_05_03_01_00,27,13,14,0,0,0.0
00_00_00_05_07_00_00,30,8,9,13,0,43.3
00_00_00_05_07_00_01,30,2,27,1,0,3.3
00_00_00_05_07_00_02,31,1,27,2,1,6.5
00_00_00_05_08_00_00,33,4,25,4,0,12.1
00_00_00_08_08_00_00,30,0,30,0,0,0.0
00_00_00_08_08_00_01,17,0,17,0,0,0.0
00_00_00_08_08_00_02,9,3,6,0,0,0.0
00_00_02_02_03_00_00,30,5,24,1,0,3.3
00_00_02_02_08_00_00,33,6,10,13,4,39.4
00_00_02_04_03_00_00,21,5,16,0,0,0.0
00_00_02_04_07_00_00,34,11,17,2,4,5.9
00_01_00_04_03_00_00,30,6,12,12,0,40.0
00_01_00_05_08_01_00,33,0,33,0,0,0.0
00_01_00_08_08_00_00,33,5,10,18,0,54.5
00_01_01_08_08_00_00,30,7,22,1,0,3.3
00_02_00_05_08_00_00,33,2,18,12,1,36.4
00_02_03_06_08_01_00,22,5,17,0,0,0.0
00_02_05_04_07_00_00,36,27,4,3,2,8.3
00_02_05_05_07_00_00,30,0,30,0,0,0.0
00_02_05_05_07_00_01,30,6,10,14,0,46.7
00_02_05_05_07_00_02,30,0,21,6,3,20.0
00_02_05_05_07_00_03,30,0,30,0,0,0.0
00_03_02_04_07_01_00,33,0,33,0,0,0.0
00_03_03_06_08_00_00,33,1,32,0,0,0.0
01_00_00_02_07_00_00,30,8,21,1,0,3.3
01_00_00_04_02_00_00,30,2,23,4,1,13.3
01_00_00_04_03_00_00,30,20,4,6,0,20.0
01_00_00_04_07_00_00,30,10,15,5,0,16.7
01_00_00_04_07_00_01,30,6,22,2,0,6.7
01_01_00_05_03_00_00,30,10,19,1,0,3.3
01_01_00_08_08_01_00,22,1,20,1,0,4.5
01_01_02_05_08_00_00,33,14,12,6,1,18.2
03_00_00_02_08_00_00,33,1,25,2,5,6.1
