turn_id,session_id,user_turn_number,auto_rule_pred,human_conflict,annotator_id,adjudicated,notes
01_00_00_04_07_00_00__u0002,01_00_00_04_07_00_00,2,1,,,,
102__u0020,102,20,0,,,,
00_00_00_05_07_00_00__u0027,00_00_00_05_07_00_00,27,1,,,,
01_00_00_04_03_00_00__u0022,01_00_00_04_03_00_00,22,0,,,,
00_02_05_05_07_00_03__u0027,00_02_05_05_07_00_03,27,0,,,,
103__u0030,103,30,0,,,,
101__u0002,101,2,0,,,,
00_00_02_04_07_00_00__u0005,00_00_02_04_07_00_00,5,1,,,,
00_01_00_04_03_00_00__u0023,00_01_00_04_03_00_00,23,0,,,,
100__u0004,100,4,0,,,,
00_00_00_05_07_00_00__u0010,00_00_00_05_07_00_00,10,0,,,,
00_00_02_02_03_00_00__u0010,00_00_02_02_03_00_00,10,0,,,,
01_00_00_04_07_00_01__u0007,01_00_00_04_07_00_01,7,1,,,,
00_01_00_04_03_00_00__u0015,00_01_00_04_03_00_00,15,0,,,,
103__u0032,103,32,0,,,,
00_02_05_05_07_00_03__u0004,00_02_05_05_07_00_03,4,0,,,,
01_01_00_05_03_00_00__u0020,01_01_00_05_03_00_00,20,1,,,,
00_02_05_05_07_00_01__u0020,00_02_05_05_07_00_01,20,1,,,,
00_00_00_05_07_00_00__u0007,00_00_00_05_07_00_00,7,0,,,,
00_00_00_04_07_00_01__u0016,00_00_00_04_07_00_01,16,1,,,,
103__u0028,103,28,1,,,,
00_00_00_02_07_00_00__u0024,00_00_00_02_07_00_00,24,1,,,,
00_02_05_05_07_00_01__u0017,00_02_05_05_07_00_01,17,0,,,,
01_00_00_04_03_00_00__u0027,01_00_00_04_03_00_00,27,0,,,,
00_00_00_02_07_00_00__u0020,00_00_00_02_07_00_00,20,0,,,,
00_00_00_02_07_00_00__u0006,00_00_00_02_07_00_00,6,0,,,,
00_00_00_02_07_00_00__u0017,00_00_00_02_07_00_00,17,0,,,,
103__u0005,103,5,0,,,,
01_00_00_04_07_00_00__u0005,01_00_00_04_07_00_00,5,0,,,,
01_00_00_04_07_00_01__u0010,01_00_00_04_07_00_01,10,1,,,,
00_00_00_02_07_00_00__u0012,00_00_00_02_07_00_00,12,0,,,,
00_01_00_04_03_00_00__u0022,00_01_00_04_03_00_00,22,1,,,,
00_00_02_04_07_00_00__u0018,00_00_02_04_07_00_00,18,0,,,,
00_00_00_05_07_00_00__u0014,00_00_00_05_07_00_00,14,0,,,,
103__u0008,103,8,0,,,,
00_00_00_05_07_00_02__u0025,00_00_00_05_07_00_02,25,0,,,,
01_00_00_04_02_00_00__u0005,01_00_00_04_02_00_00,5,0,,,,
