session_id,message_index,t_start_sec,t_end_sec,emotion_visual_deployed,n_frames_with_face,fer_p_angry,fer_p_disgust,fer_p_fear,fer_p_happy,fer_p_neutral,fer_p_sad,fer_p_surprise
00_00_00_02_07_00_00,0,37.75,41.96,happy,3,0.0006353628099165034,0.0020163836989942805,0.0011356969142804069,0.40888850357099654,0.5854858644539346,0.0007821259056246663,0.001056062646253083
00_00_00_02_07_00_00,2,52.91,58.277,happy,3,0.0006389738049889841,0.0020232224164696035,0.00042634171105023156,0.6602802885260549,0.335671092951233,0.0004985862442136004,0.00046149434598977563
00_00_00_02_07_00_00,4,784.762,787.514,happy,3,0.0012342668241399945,0.028494804234112672,0.0005960787787580121,0.2647776746214261,0.7002391265997656,0.0018155333679387247,0.00284251557385891
00_00_00_02_07_00_00,6,781.762,789.086,happy,3,0.002661690716782762,0.04829145203198944,0.0006049150091611515,0.17721974984742742,0.7673493988422866,0.0009066455630994906,0.002966147989253028
00_00_00_02_07_00_00,10,935.05,942.669,happy,3,0.0007588741238789611,0.005729522788353724,0.0001223642676841512,0.07924048212460601,0.9136296236222793,0.00015956342609555277,0.0003595696471024549
00_00_00_02_07_00_00,12,530.321,533.209,happy,3,0.0002029522268988888,0.0034906760464203015,3.760092049526205e-05,0.8609005609174097,0.1349488601877717,0.0003768037791835889,4.2545921820330314e-05
00_00_00_02_07_00_00,14,807.843,815.958,happy,3,2.0731339999679383e-05,4.294044285623011e-05,8.366400950598842e-06,0.9939124865169161,0.005833666436966934,0.00012168542310186706,6.012343920856251e-05
00_00_00_02_07_00_00,16,720.751,731.771,happy,3,0.0037231215195040607,0.019530821991986195,0.0015743056079955567,0.782959837401226,0.1879038739417969,0.0016668256357961835,0.0026412139016951932
00_00_00_02_07_00_00,18,817.734,821.774,happy,3,0.000164590529307587,0.003961430511808642,9.27135645614022e-05,0.21087671144502593,0.7843424463009929,0.00023992539307797394,0.0003221822552256134
00_00_00_02_07_00_00,20,738.8,746.589,happy,3,6.894376794259392e-05,0.0013007967489703344,4.996124235277139e-05,0.7014135205956664,0.29689195254157574,0.00018723401590426523,8.759108758779201e-05
00_00_00_02_07_00_00,22,642.267,648.8,happy,3,0.00013623804966411706,0.0025915537722683677,4.8995833049308715e-05,0.06598080286226086,0.9290180629580163,0.0020847626811349336,0.00013958384360632123
